Country,GDP (nominal per capita),Health Expenditure (%GDP),Inequality (GINI),Poverty (% living below line)
Australia,54972.7017885437(2019),10.21285057(2019),34.3(2018),
Austria,49885.9947355204(2019),10.48753643(2019),30.2(2019),13.9(2019)
Belgium,46716.6227467964(2019),10.75969219(2019),27.2(2019),14.1(2019)
Bulgaria,10372.8044341114(2019),7.09237671(2019),40.3(2019),23.8(2019)
Canada,46352.8693445211(2019),11.05897045(2019),31.7(2019),
Switzerland,84121.9310304414(2019),11.42588997(2019),34.0(2019),15.5(2019)
Chile,14495.716721687(2019),9.29919815(2019),45.3(2017),8.5(2017)
Czechia,24062.7190013343(2019),7.61342955(2019),25.3(2019),9.5(2019)
Germany,47623.8656074829(2019),11.71595001(2019),31.8(2019),16.1(2019)
Denmark,59404.2663247723(2019),10.1524353(2019),27.7(2019),12.1(2019)
Spain,29786.5245689007(2019),9.1348772(2019),34.3(2019),21.0(2019)
Estonia,24021.2501413306(2019),6.81699181(2019),30.8(2019),20.7(2019)
Finland,48358.1807773701(2019),9.17142677(2019),27.7(2019),12.2(2019)
France,40408.2848574751(2019),11.09938431(2019),31.2(2019),13.8(2019)
United Kingdom,42794.0022648288(2019),9.95388126(2019),32.8(2019),18.6(2017)
United Kingdom,42794.0022648288(2019),9.95388126(2019),32.8(2019),18.6(2017)
United Kingdom,42794.0022648288(2019),9.95388126(2019),32.8(2019),18.6(2017)
Greece,19335.3602002969(2019),8.1982832(2019),33.1(2019),17.7(2019)
Croatia,15563.8167397199(2019),6.7431674(2019),28.9(2019),18.3(2019)
Hungary,17012.8598553199(2019),6.28167295(2019),30.6(2017),12.3(2019)
Iceland,68452.23622306(2019),8.63996315(2019),26.8(2019),8.8(2017)
Israel,44250.6313628073(2019),7.17438793(2019),38.3(2019),
Italy,33812.788724868(2019),8.65633965(2019),34.6(2019),20.0(2019)
"Korea, Rep.",31902.4169048194(2019),8.1267519(2019),33.2(2019),
Lithuania,19608.7943945553(2019),6.98445415(2019),35.3(2019),20.9(2019)
Luxembourg,112696.649059674(2019),5.46495819(2019),34.2(2019),17.4(2019)
Latvia,17294.9751600969(2019),6.63697243(2019),34.5(2019),21.6(2019)
Netherlands,53554.9007491475(2019),10.14039612(2019),29.2(2019),13.4(2019)
Norway,76430.5889473338(2019),10.43807507(2019),27.7(2019),12.7(2019)
New Zealand,42779.2298164101(2019),9.50996971(2019),,
Poland,15874.5220531254(2019),6.46008492(2019),28.8(2019),14.8(2019)
Portugal,23343.3628970034(2019),9.51379871(2019),32.8(2019),16.2(2019)
Russian Federation,11447.701171875(2019),5.64849091(2019),35.7(2019),12.3(2019)
Slovak Republic,19406.0589683582(2019),6.91964769(2019),23.2(2019),11.4(2019)
Slovenia,25814.1687167572(2019),8.49057198(2019),24.4(2019),12.4(2019)
Sweden,51773.0464558993(2019),10.83224297(2019),29.3(2019),16.1(2019)
TWN,,,,
United States,65227.9565911038(2019),16.66125298(2019),41.9(2019),
